id_plant;generation_2013_gwh;generation_2014_gwh;generation_2015_gwh;generation_2016_gwh;generation_2017_gwh;generation_2018_gwh;generation_2019_gwh
ARG0000119;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000121;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000123;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000124;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000125;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000128;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000129;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000132;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000133;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000135;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000136;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000137;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000138;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000139;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000141;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000142;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000143;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000144;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000147;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000148;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000149;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000152;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000153;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000154;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000155;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000156;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000157;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000158;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000159;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000160;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000161;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000162;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000163;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000164;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000165;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000166;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000169;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000170;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000181;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000182;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000183;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000184;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000185;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000188;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000189;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000190;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000191;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000192;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000193;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000194;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000195;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000196;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000197;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000198;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000208;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000209;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000210;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000211;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000212;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000213;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000214;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000215;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000216;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000217;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000220;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000221;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000222;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000223;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000227;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000228;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000229;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000230;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000231;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000232;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000233;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000235;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000240;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000241;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000242;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000250;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000254;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000255;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000256;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000257;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000258;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000259;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000260;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000261;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000262;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000266;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000267;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000269;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000270;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000271;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000272;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000273;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000274;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000275;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000276;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000277;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000278;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000282;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000283;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000284;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000286;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000287;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000288;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000289;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000290;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000295;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000296;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000297;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000298;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000299;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000304;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000305;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ARG0000307;NULL;NULL;NULL;NULL;NULL;NULL;NULL
