id_plant;id_country;name;commissioning_year;primary_fuel;capacity_mw;latitude;longitude
ARG0000001;ARG;PARANA;2001;Other;845.26;-33.354.900;-60.171.800
ARG0000002;ARG;SAN NICOLAS;1965;Coal;644.00;-33.356.200;-60.172.900
ARG0000003;ARG;CT ARRECIFES;NULL;Oil;20.00;-34.041.400;-60.129.700
ARG0000004;ARG;CT GENERAL VILLEGAS;NULL;Oil;23.49;-35.034.700;-62.998.100
ARG0000005;ARG;CT MAGDALENA;NULL;Oil;25.00;-35.100.100;-57.483.900
ARG0000006;ARG;MAR DE AJO;NULL;Gas;34.00;-36.720.800;-63.197.700
ARG0000007;ARG;MAR DEL PLATA (9 DE JULIO);NULL;Gas;201.30;-38.049.500;-57.546.000
ARG0000008;ARG;NECOCHEA;1969;Coal;206.00;-38.578.500;-58.710.800
ARG0000009;ARG;VILLA GESELL;NULL;Gas;130.00;-37.248.700;-56.997.300
ARG0000015;ARG;MAYOR BURATOVICH;NULL;Wind;2.02;-39.229.100;-62.649.700
ARG0000016;ARG;ORENSE;NULL;Oil;1.72;-38.685.100;-59.780.400
ARG0000017;ARG;PUNTA ALTA - CENTENARIO;NULL;Wind;1.80;-38.783.300;-61.898.400
ARG0000022;ARG;CT MIRAMAR I;NULL;Oil;20.00;-38.247.200;-57.824.200
ARG0000023;ARG;CT BRAGADO;NULL;Gas;49.80;-35.136.400;-60.431.100
ARG0000024;ARG;CT LAS ARMAS;NULL;Gas;10.40;-37.078.100;-57.818.100
ARG0000025;ARG;CT LAS ARMAS II;NULL;Gas;23.37;-37.078.100;-57.818.100
ARG0000026;ARG;CT OLAVARRIA;NULL;Gas;38.80;-36.943.900;-60.236.100
ARG0000027;ARG;CT PINAMAR;NULL;Gas;21.00;-37.095.300;-56.878.900
ARG0000028;ARG;CT CAPITAN SARMIENTO;NULL;Oil;5.00;-34.163.600;-59.768.300
ARG0000029;ARG;ATUCHA I;1974;Nuclear;370.00;-33.967.000;-59.205.900
ARG0000030;ARG;ATUCHA II;2014;Nuclear;745.00;-33.967.400;-59.204.500
ARG0000031;ARG;CENTRAL BAHIA BLANCA (PIEDRA BUENA) SA;1990;Coal;620.00;-38.787.200;-62.253.600
ARG0000032;ARG;CT ECOENERGIA (PETROBRAS);NULL;Coal;13.20;-38.687.100;-62.396.100
ARG0000034;ARG;TENARIS SIDERCA CETE II;1998;Gas;163.20;-33.365.500;-60.143.500
ARG0000035;ARG;CT JUNIN;NULL;Oil;22.00;-34.570.800;-60.916.100
ARG0000036;ARG;CT LINCOLN;NULL;Oil;15.00;-34.857.800;-61.520.600
ARG0000037;ARG;CT PEHUAJO;NULL;Oil;22.40;-35.833.600;-61.875.800
ARG0000038;ARG;CT SALTO;NULL;Oil;22.50;-27.459.700;-65.605.500
ARG0000039;ARG;CT COLON BUENOS AIRES;NULL;Oil;15.30;-33.922.200;-61.076.900
ARG0000040;ARG;CT LA PLATA;NULL;Oil;40.40;-34.934.400;-58.016.000
ARG0000041;ARG;CT LOBOS;NULL;Oil;15.69;-35.191.700;-59.080.800
ARG0000042;ARG;CENTRAL TERMOELECTRICA GUILLERMO BROWN;NULL;Gas;524.00;-34.626.800;-58.543.800
ARG0000043;ARG;CENTRAL TERMOELECTRICA MANUEL BELGRANO;2009;Gas;868.20;-24.689.400;-65.042.500
ARG0000044;ARG;NUEVO PUERTO;1988;Gas;1217.70;-34.572.100;-58.383.500
ARG0000045;ARG;PUERTO NUEVO;1966;Coal;589.00;-34.575.400;-58.378.800
ARG0000046;ARG;COSTANERA;1984;Coal;1982.20;-34.626.000;-58.339.300
ARG0000047;ARG;EX CENTRAL BUENOS AIRES;NULL;Gas;321.00;-34.627.000;-58.338.200
ARG0000048;ARG;CAPITAL CATAMARCA - PREDIO CHOYA;NULL;Oil;5.73;-28.453.700;-65.784.100
ARG0000049;ARG;CAPITAL CATAMARCA - PREDIO EX CARCEL;NULL;Oil;7.08;-28.477.300;-65.787.200
ARG0000050;ARG;CAPITAL CATAMARCA - PREDIO RIPIERA;NULL;Oil;4.68;-28.468.400;-65.779.700
ARG0000054;ARG;CT CATAMARCA;NULL;Oil;19.20;-28.470.600;-65.764.700
ARG0000055;ARG;CT INTA CATAMARCA;NULL;Oil;7.04;-28.473.300;-65.727.500
ARG0000056;ARG;CT PARQUE INDUSTRIAL CATAMARCA;NULL;Oil;15.00;-28.533.900;-65.799.700
ARG0000057;ARG;CT TEREVINTOS;NULL;Oil;8.00;-28.428.900;-65.787.800
ARG0000058;ARG;CT TINOGASTA;NULL;Oil;15.00;-28.048.600;-67.566.700
ARG0000059;ARG;CT JUAN JOSE CASTELLI;NULL;Oil;15.00;-25.956.400;-60.620.400
ARG0000060;ARG;CT SAENZ PEÑA  II;NULL;Oil;15.00;-26.815.300;-60.412.500
ARG0000061;ARG;CT VILLA ANGELA;NULL;Oil;15.00;-27.580.800;-60.709.400
ARG0000062;ARG;CT SAENZ PEÑA  I;NULL;Oil;20.00;-26.815.600;-60.411.400
ARG0000065;ARG;CT CHARATA;NULL;Oil;19.40;-27.236.900;-61.193.900
ARG0000066;ARG;CT LAS PALMAS;NULL;Oil;6.00;-27.028.900;-58.699.700
ARG0000067;ARG;COMODORO RIVADAVIA - ANTONIO MORAN;NULL;Wind;16.56;-45.846.700;-67.496.400
ARG0000072;ARG;COMODORO RIVADAVIA;1990;Gas;141.02;-25.991.300;-54.627.800
ARG0000073;ARG;PUERTO MADRYN;NULL;Gas;42.00;-42.706.900;-65.104.800
ARG0000075;ARG;PARQUE EOLICO LOMA BLANCA IV (ENARSA);NULL;Wind;50.00;-43.090.700;-65.229.800
ARG0000076;ARG;PARQUE EOLICO RAWSON I (ENARSA);NULL;Wind;48.60;-43.352.200;-65.173.400
ARG0000077;ARG;PARQUE EOLICO RAWSON II (ENARSA);NULL;Wind;28.80;-43.352.200;-65.173.400
ARG0000078;ARG;PATAGONIA;2001;Gas;123.70;-45.793.400;-67.514.500
ARG0000079;ARG;FLORENTINO AMEGHINO;1963;Hydro;60.00;-43.699.600;-66.481.500
ARG0000080;ARG;FUTALEUFU;1978;Hydro;472.00;-43.128.800;-71.630.000
ARG0000081;ARG;PARQUE EOLICO DIADEMA;NULL;Wind;6.30;-45.745.800;-67.695.300
ARG0000082;ARG;PARQUE EOLICO EL TORDILLO;NULL;Wind;3.00;-45.850.700;-67.908.100
ARG0000083;ARG;CT ISLA VERDE;NULL;Oil;24.50;-33.242.500;-62.395.000
ARG0000085;ARG;BENJAMIN REOLIN;1966;Hydro;38.40;-32.188.300;-64.323.300
ARG0000086;ARG;CASSAFFOUSTH;1953;Hydro;17.28;-31.399.200;-64.200.600
ARG0000087;ARG;CRUZ DEL EJE;1943;Oil;5.05;-30.763.600;-64.753.800
ARG0000088;ARG;DEAN FUNES;1967;Gas;70.12;-31.393.400;-64.205.900
ARG0000089;ARG;FITZ SIMON;1943;Hydro;10.80;-32.178.400;-64.420.700
ARG0000090;ARG;GENERAL LEVALLE;NULL;Gas;72.78;-34.036.400;-63.921.700
ARG0000091;ARG;ISLA VERDE;NULL;Oil;3.12;-33.242.200;-62.394.600
ARG0000094;ARG;LA VIÑA;1958;Hydro;16.00;-31.870.800;-65.034.900
ARG0000096;ARG;LOS MOLINOS I;1957;Hydro;59.04;-31.838.000;-64.445.200
ARG0000097;ARG;LOS MOLINOS II;1958;Hydro;4.50;-31.838.000;-64.445.200
ARG0000099;ARG;PIEDRAS MORAS;1995;Hydro;6.30;-32.167.500;-64.243.800
ARG0000100;ARG;PILAR  BICENTENARIO;2010;Gas;467.00;-31.665.100;-63.831.400
ARG0000101;ARG;PILAR ZANICHELLI;1971;Coal;216.00;-31.666.200;-63.834.400
ARG0000103;ARG;RIO CUARTO;1975;Gas;35.57;-33.161.400;-64.364.900
ARG0000104;ARG;RIO GRANDE;1986;Hydro;750.00;-53.786.200;-67.722.200
ARG0000105;ARG;SAN FRANCISCO;1979;Gas;40.00;-31.439.100;-62.111.900
ARG0000107;ARG;SAN ROQUE;1944;Hydro;26.00;-31.353.300;-64.393.800
ARG0000108;ARG;SUDOESTE;1981;Gas;140.00;-31.463.000;-64.238.800
ARG0000109;ARG;VILLA MARIA (LAS PLAYAS);1971;Gas;48.00;-39.087.200;-67.088.100
ARG0000110;ARG;CT 13 DE JULIO;NULL;Gas;26.00;-32.161.300;-64.153.700
ARG0000111;ARG;MODESTO MARANZANA;2003;Gas;250.00;-33.160.800;-64.365.600
ARG0000112;ARG;EMBALSE;1984;Nuclear;648.00;-32.231.600;-64.442.200
ARG0000113;ARG;CT BELL VILLE;NULL;Oil;15.62;-32.610.300;-62.686.400
ARG0000114;ARG;CT CORRIENTES;NULL;Oil;20.00;-27.470.800;-58.804.200
ARG0000116;ARG;CAA CATI;NULL;Oil;1.42;-27.753.400;-57.620.500
ARG0000117;ARG;CORRIENTES;NULL;Oil;1.40;-27.470.800;-58.804.200
ARG0000119;ARG;ESQUINA;NULL;Oil;2.22;-30.010.200;-59.532.100
ARG0000121;ARG;GOYA;NULL;Oil;1.33;-29.138.800;-59.227.700
ARG0000123;ARG;ITA IBATE;NULL;Oil;1.05;-27.425.200;-57.334.100
ARG0000124;ARG;ITUZAINGO;NULL;Oil;1.33;-27.578.500;-56.672.600
ARG0000125;ARG;LA CRUZ;NULL;Oil;1.33;-29.176.200;-56.639.400
ARG0000128;ARG;MBURUCUYA;NULL;Oil;1.04;-28.044.100;-58.228.500
ARG0000129;ARG;MERCEDES;NULL;Oil;2.31;-29.180.800;-58.079.300
ARG0000132;ARG;PASO DE LOS LIBRES;NULL;Oil;2.14;-29.714.800;-57.093.300
ARG0000133;ARG;PERUGORRIA;NULL;Oil;1.11;-29.340.000;-58.607.700
ARG0000135;ARG;SANTO TOME;NULL;Oil;2.68;-28.549.700;-56.072.200
ARG0000136;ARG;YACYRETA;1996;Hydro;1550.00;-27.482.700;-56.739.700
ARG0000137;ARG;GOYA (ELECTROPATAGONIA SA);NULL;Gas;17.30;-29.138.800;-59.227.700
ARG0000138;ARG;CT GOYA;NULL;Oil;13.00;-29.158.300;-59.272.800
ARG0000139;ARG;CT ESQUINA;NULL;Oil;16.50;-30.055.000;-59.529.400
ARG0000141;ARG;CT PASO DE LA PATRIA;NULL;Oil;7.20;-27.323.600;-58.566.700
ARG0000142;ARG;CT SANTA ROSA;NULL;Oil;6.00;-28.262.800;-58.000.600
ARG0000143;ARG;CT VIALE;NULL;Oil;10.00;-31.891.900;-60.010.600
ARG0000144;ARG;SALTO GRANDE (MITAD ARGENTINA);1980;Hydro;945.00;-31.389.100;-68.675.200
ARG0000147;ARG;CT CONCEPCION DEL URUGUAY;NULL;Gas;41.78;-32.476.700;-58.267.200
ARG0000148;ARG;CT PARANA;NULL;Gas;40.00;-31.776.400;-60.455.300
ARG0000149;ARG;CT FORMOSA II;NULL;Oil;30.00;-26.176.400;-58.209.400
ARG0000152;ARG;CT INGENIERO JUAREZ;NULL;Oil;4.00;-23.907.800;-61.834.200
ARG0000153;ARG;CT LAGUNA BLANCA;NULL;Oil;7.00;-25.128.600;-58.259.700
ARG0000154;ARG;CT PIRANE;NULL;Oil;16.25;-25.678.600;-59.075.600
ARG0000155;ARG;CENTRAL TERMICA REMEDIOS DE ESCALADA;NULL;Oil;25.00;-34.720.800;-58.388.100
ARG0000156;ARG;ALMIRANTE BROWN;NULL;Oil;25.00;-34.838.600;-58.403.300
ARG0000157;ARG;DIQUE;1969;Gas;68.44;-34.890.200;-57.933.000
ARG0000158;ARG;DOCK SUD;1999;Gas;872.30;-34.653.300;-58.342.000
ARG0000159;ARG;C.T. SAN VICENTE;NULL;Oil;27.60;-35.024.100;-58.423.700
ARG0000160;ARG;CT ENSENADA DE BARRAGAN;NULL;Gas;567.00;-34.859.700;-57.955.700
ARG0000161;ARG;CT SAN MARTIN NORTE III;NULL;Oil;5.10;-34.525.200;-58.620.600
ARG0000162;ARG;CT SAN MIGUEL NORTE III;NULL;Oil;11.50;-34.525.200;-58.620.600
ARG0000163;ARG;CT MATHEU;NULL;Gas;41.00;-34.393.100;-58.837.200
ARG0000164;ARG;LA PLATA COGENERACION;1997;Gas;128.00;-34.889.000;-57.920.600
ARG0000165;ARG;CENTRAL T.GENELBA;1998;Gas;673.60;-34.902.700;-58.733.400
ARG0000166;ARG;CENTRAL T.GENELBA PLUS;NULL;Gas;164.55;-34.902.700;-58.733.400
ARG0000169;ARG;LAS MADERAS;NULL;Hydro;30.00;-24.443.800;-65.220.300
ARG0000170;ARG;CT LIBERTADOR GENERAL SAN MARTIN;NULL;Oil;15.00;-40.842.100;-68.086.900
ARG0000181;ARG;SANTA ISABEL;NULL;Oil;2.25;-36.231.400;-66.938.100
ARG0000182;ARG;GENERAL ACHA;NULL;Wind;1.80;-37.430.900;-64.716.000
ARG0000183;ARG;CASA DE PIEDRA;1996;Hydro;60.00;-38.214.300;-67.190.800
ARG0000184;ARG;CT REALICO;NULL;Oil;24.00;-35.055.000;-64.240.600
ARG0000185;ARG;CHILECITO;NULL;Oil;5.00;-29.157.800;-67.506.900
ARG0000188;ARG;LA RIOJA;NULL;Oil;42.00;-29.382.300;-66.832.500
ARG0000189;ARG;CT CHILECITO;NULL;Oil;10.00;-29.158.100;-67.507.200
ARG0000190;ARG;CT LA RIOJA DELIVERY;NULL;Oil;19.20;-29.381.100;-66.832.500
ARG0000191;ARG;CT LA RIOJA SUR;NULL;Oil;10.00;-29.380.800;-66.831.900
ARG0000192;ARG;PARQUE EOLICO ARAUCO SAPEM I;NULL;Wind;25.20;-28.668.400;-66.752.400
ARG0000193;ARG;PARQUE EOLICO ARAUCO SAPEM II;NULL;Wind;25.20;-28.668.400;-66.752.400
ARG0000194;ARG;ALVAREZ CONDARCO;2003;Hydro;50.70;-33.045.200;-69.051.600
ARG0000195;ARG;CACHEUTA (NUEVA);2002;Hydro;120.00;-33.029.100;-69.110.900
ARG0000196;ARG;EL CARRIZAL;1971;Hydro;17.00;-33.299.300;-68.719.900
ARG0000197;ARG;CRUZ DE PIEDRA;1969;Gas;17.94;-33.034.900;-68.797.100
ARG0000198;ARG;LUJAN DE CUYO;1988;Gas;549.76;-33.055.100;-68.981.000
ARG0000208;ARG;GENERAL SAN MARTIN;1950;Hydro;6.00;-33.044.900;-68.921.900
ARG0000209;ARG;LOS CORONELES (EX 25  DE MAYO);1970;Hydro;6.60;-34.600.000;-68.528.500
ARG0000210;ARG;AGUA DEL TORO;1982;Hydro;130.00;-34.579.200;-68.989.200
ARG0000211;ARG;EL TIGRE;1989;Hydro;14.40;-34.610.000;-68.613.600
ARG0000212;ARG;LOS REYUNOS;1983;Hydro;224.00;-34.602.800;-68.638.300
ARG0000213;ARG;NIHUIL IV;1965;Hydro;22.40;-34.833.000;-68.516.800
ARG0000214;ARG;NIHUIL I;1957;Hydro;74.24;-34.990.700;-68.623.700
ARG0000215;ARG;NIHUIL II;1968;Hydro;133.12;-34.903.900;-68.617.700
ARG0000216;ARG;NIHUIL III;1972;Hydro;52.00;-34.882.100;-68.576.000
ARG0000217;ARG;CT ALEM;NULL;Oil;15.00;-43.090.700;-65.229.800
ARG0000220;ARG;BERNARDO  DE IRIGOYEN;NULL;Oil;2.10;-26.254.500;-53.646.900
ARG0000221;ARG;COMANDANTE ANDRESITO;NULL;Oil;2.37;-25.666.900;-54.041.900
ARG0000222;ARG;LA TABLADA;1969;Gas;22.15;-27.418.400;-55.909.700
ARG0000223;ARG;OBERA (TG Nº21 FIAT );NULL;Gas;17.20;-27.501.900;-55.124.500
ARG0000227;ARG;SAN PEDRO;NULL;Oil;2.22;-26.625.300;-54.110.200
ARG0000228;ARG;URUGUA-I;1991;Hydro;120.00;-25.876.600;-54.568.700
ARG0000229;ARG;CT ARISTOBULO DEL VALLE;NULL;Oil;15.00;-27.092.200;-54.862.500
ARG0000230;ARG;ALICURA;1987;Hydro;1050.00;-40.580.000;-70.748.900
ARG0000231;ARG;AGUA DEL CAJON (AUTOGENERADOR DEL MEM);1997;Other;479.20;-38.936.800;-68.355.600
ARG0000232;ARG;AGUA DEL CAJON (GENERADOR DEL MEM);1994;Gas;192.00;-38.936.800;-68.355.600
ARG0000233;ARG;PIEDRA DEL AGUILA (CPSA);1994;Hydro;1400.00;-31.665.100;-63.831.400
ARG0000235;ARG;ALTO VALLE;1969;Gas;97.50;-38.952.400;-68.021.800
ARG0000240;ARG;FILO MORADO;NULL;Gas;67.50;-37.274.200;-69.652.000
ARG0000241;ARG;PLANICIE BANDERITA;1979;Hydro;472.00;-28.533.900;-65.799.700
ARG0000242;ARG;ALUMINE;NULL;Oil;1.90;-39.214.500;-70.915.700
ARG0000250;ARG;SAN MARTIN DE LOS ANDES;NULL;Oil;4.22;-40.151.100;-71.334.000
ARG0000254;ARG;ARROYITO;1977;Hydro;128.00;-39.100.900;-68.598.200
ARG0000255;ARG;EL CHOCON;1976;Hydro;1200.00;-39.257.700;-68.748.300
ARG0000256;ARG;CT ALUMINE;NULL;Oil;6.30;-38.870.600;-70.575.300
ARG0000257;ARG;CT CAVIAHUE;NULL;Oil;5.00;-38.052.800;-70.613.600
ARG0000258;ARG;CT MEDANITOS (RINCON DE LOS SAUCES);NULL;Oil;32.00;-37.410.200;-68.900.000
ARG0000259;ARG;CENTRAL LOMA DE LA LATA SA;2000;Gas;540.00;-38.512.700;-68.604.800
ARG0000260;ARG;CT CIPOLLETTI;NULL;Oil;5.00;-38.913.300;-67.941.400
ARG0000261;ARG;CT VILLA REGINA;NULL;Oil;5.00;-39.087.200;-67.088.100
ARG0000262;ARG;CT ROCA;1995;Gas;130.00;-31.891.900;-60.010.600
ARG0000266;ARG;BARILOCHE (PUERTO  MORENO);NULL;Oil;5.74;-41.116.700;-71.416.700
ARG0000267;ARG;CIPOLLETTI;1954;Hydro;5.78;-38.912.100;-67.942.700
ARG0000269;ARG;GUILLERMO CESPEDES;1963;Hydro;5.20;-39.560.000;-65.681.700
ARG0000270;ARG;JULIAN  ROMERO;NULL;Hydro;6.20;-38.836.700;-68.038.000
ARG0000271;ARG;SALTO ANDERSEN;2012;Hydro;7.90;-38.824.400;-64.829.600
ARG0000272;ARG;H. PICHI PICUN LEUFU;1999;Hydro;285.00;-40.012.000;-69.991.800
ARG0000273;ARG;CT BARILOCHE;NULL;Oil;20.00;-41.149.700;-71.263.300
ARG0000274;ARG;CENTRAL TERMICA DE CICLO COMBINADO SALTA;1999;Gas;643.00;-24.745.600;-65.051.300
ARG0000275;ARG;CABRA CORRAL;1978;Hydro;102.00;-25.271.200;-65.329.800
ARG0000276;ARG;EL TUNAL;1972;Hydro;11.00;-25.232.300;-64.476.200
ARG0000277;ARG;CACHI;NULL;Oil;1.07;-25.108.900;-66.210.600
ARG0000278;ARG;CAFAYATE;NULL;Oil;4.18;-26.071.500;-65.987.600
ARG0000282;ARG;RIO CORRALITO;1962;Hydro;13.20;-24.983.000;-65.686.000
ARG0000283;ARG;TARTAGAL;NULL;Gas;17.00;-22.509.900;-63.797.000
ARG0000284;ARG;CENTRAL TERMICA PIQUIRENDA SA;2010;Oil;30.44;-22.349.700;-63.766.400
ARG0000286;ARG;CT ORAN;NULL;Oil;15.00;-23.125.800;-64.306.900
ARG0000287;ARG;CENTRAL TERMICA GÜEMES SA;1993;Coal;361.00;-24.689.400;-65.042.500
ARG0000288;ARG;CT TARTAGAL;NULL;Oil;10.00;-22.540.600;-63.805.600
ARG0000289;ARG;PRESIDENTE SARMIENTO;NULL;Gas;31.50;-31.512.900;-68.539.900
ARG0000290;ARG;ULLUM;NULL;Hydro;42.00;-31.455.700;-68.755.600
ARG0000295;ARG;CHIMBERA 1;NULL;Solar;2.00;-31.988.100;-68.540.200
ARG0000296;ARG;CH LOS CARACOLES;2009;Hydro;121.40;-31.519.200;-68.981.400
ARG0000297;ARG;CUESTA DEL VIENTO;1997;Hydro;10.55;-30.183.300;-69.066.700
ARG0000298;ARG;PLANTA PILOTO FOTOVOLTAICA SAN JUAN 1;NULL;Solar;1.20;-31.389.100;-68.675.200
ARG0000299;ARG;QUEBRADA DE ULLUM;1981;Hydro;45.00;-31.256.700;-61.520.300
ARG0000304;ARG;PICO TRUNCADO I;NULL;Gas;45.60;-46.784.200;-67.949.800
ARG0000305;ARG;PICO TRUNCADO - JORGE ROMANUTTI;NULL;Wind;2.40;-46.806.500;-67.980.800
ARG0000307;ARG;CENTRAL TERMOELECTRICA TIMBUES;2009;Gas;865.14;-32.577.800;-60.791.000
ARG0000308;ARG;VUELTA DE OBLIGADO;NULL;Gas;560.00;-32.580.700;-60.790.300
ARG0000309;ARG;VENADO TUERTO;NULL;Oil;9.10;-33.777.700;-61.955.500
ARG0000310;ARG;C.T. RUFINO;NULL;Oil;31.90;-34.260.500;-62.710.700
ARG0000311;ARG;CENTRAL TERMICA BRIGADIER LOPEZ (ENARSA);2013;Gas;280.00;-31.711.200;-60.781.100
ARG0000312;ARG;TOSTADO;NULL;Oil;3.20;-29.235.200;-61.757.700
ARG0000313;ARG;SORRENTO;1962;Coal;226.00;-32.905.300;-60.680.700
ARG0000314;ARG;CT CERES;NULL;Oil;18.00;-29.888.300;-61.929.700
ARG0000315;ARG;CT RAFAELA;NULL;Oil;19.20;-31.256.700;-61.520.300
ARG0000316;ARG;CT VENADO TUERTO;NULL;Oil;19.20;-33.773.600;-61.956.400
ARG0000319;ARG;CENTRAL PARQUE INDUSTRIAL LA BANDA;NULL;Oil;11.23;-38.062.000;-67.946.300
ARG0000323;ARG;NUEVA ESPERANZA;NULL;Oil;3.38;-26.207.200;-64.247.700
ARG0000328;ARG;BANDERA;NULL;Oil;31.00;-23.821.900;-64.784.700
ARG0000329;ARG;GENERACION FRIAS SA;2015;Gas;60.00;-28.607.200;-65.122.800
ARG0000330;ARG;CENTRAL TERMICA LA BANDA;NULL;Gas;32.00;-27.752.800;-64.265.500
ARG0000331;ARG;LOS QUIROGA;1963;Hydro;2.50;-27.650.900;-64.361.800
ARG0000332;ARG;RIO HONDO;1976;Hydro;19.00;-27.522.500;-64.886.100
ARG0000333;ARG;CT AÑATUYA;NULL;Oil;19.20;-28.443.100;-62.856.900
ARG0000334;ARG;CT AÑATUYA II;NULL;Oil;11.50;-28.443.100;-62.856.900
ARG0000336;ARG;CT INDEPENDENCIA;1995;Gas;120.00;-26.866.600;-65.224.700
ARG0000337;ARG;CT PLUSPETROL NORTE;2003;Gas;246.00;-26.995.500;-65.166.000
ARG0000338;ARG;EL CADILLAL;1966;Hydro;14.00;-26.615.600;-65.192.900
ARG0000339;ARG;ESCABA;1956;Hydro;24.00;-27.658.900;-65.763.300
ARG0000340;ARG;PUEBLO VIEJO;1967;Hydro;19.20;-27.114.900;-65.752.300
ARG0000341;ARG;CT SAN MIGUEL DE TUCUMAN;2000;Gas;396.62;-26.995.500;-65.166.000
ARG0000342;ARG;CT TUCUMAN;1998;Gas;438.00;-26.995.500;-65.166.000
AUS0000001;AUS;Wonthaggi Wind Farm;NULL;Wind;12.00;-38.603.700;145.546.200
AUS0000002;AUS;Walkaway Wind Farm;NULL;Wind;90.00;-28.922.900;114.928.200
AUS0000003;AUS;Cullerin Range Wind Farm;NULL;Wind;30.00;-34.805.000;149.400.100
AUS0000004;AUS;Wattle Point Wind Farm;NULL;Wind;90.75;-35.110.400;137.705.800
AUS0000005;AUS;Snowtown North;NULL;Wind;148.00;-33.714.000;138.140.200
AUS0000006;AUS;Challicum Hills Wind Farm;NULL;Wind;52.50;-37.389.800;143.114.000
AUS0000007;AUS;Cape Bridgewater Wind Farm;NULL;Wind;58.00;-38.357.700;141.385.000
AUS0000008;AUS;Barcaldine (Len Wishaw);NULL;Gas;37.00;-23.552.500;145.314.200
AUS0000009;AUS;Bluff Point (Woolnorth) Wind Farm;NULL;Wind;65.00;-40.720.700;144.686.900
AUS0000010;AUS;Studland Bay (Woolnorth) Wind Farm;NULL;Wind;75.00;-40.778.800;144.736.200
AUS0000011;AUS;The Drop;NULL;Hydro;3.00;-35.604.300;145.783.700
AUS0000012;AUS;Pindari;NULL;Hydro;6.70;-29.388.600;151.244.200
AUS0000013;AUS;Nieterana;NULL;Hydro;2.20;-42.268.600;146.262.900
AUS0000014;AUS;Banimboola;NULL;Hydro;12.85;-36.534.400;147.459.400
AUS0000015;AUS;Codrington Wind Farm;NULL;Wind;18.20;-38.283.500;141.954.700
AUS0000016;AUS;Oakland Hills Wind Farm;NULL;Wind;67.00;-37.687.100;142.546.700
AUS0000017;AUS;Shepparton Biogas Generation Plant;NULL;Waste;1.10;-36.321.800;145.379.000
AUS0000018;AUS;Tatura Biogas Generation Plant;NULL;Waste;1.10;-36.479.300;145.235.000
AUS0000019;AUS;Waubra Wind Farm;NULL;Wind;192.00;-37.357.500;143.603.700
AUS0000020;AUS;Yambuk Wind Farm;NULL;Wind;30.00;-38.307.900;142.015.100
AUS0000021;AUS;Jindabyne Dam Mini Hydro;NULL;Hydro;1.10;-36.435.100;148.633.300
AUS0000024;AUS;North Brown Hill  Wind Farm;NULL;Wind;132.30;-33.309.300;138.729.600
AUS0000025;AUS;Clements Gap Wind Farm;NULL;Wind;57.00;-33.508.600;138.119.200
AUS0000026;AUS;Wyangala A;NULL;Hydro;20.00;-33.981.000;148.947.300
AUS0000027;AUS;Blayney Wind Farm;NULL;Wind;9.90;-33.621.900;149.198.200
AUS0000028;AUS;Woodlawn Wind Farm;NULL;Wind;48.00;-35.086.100;149.571.600
AUS0000029;AUS;Woodlawn Bioreactor;NULL;Waste;7.00;-35.059.000;149.576.900
AUS0000030;AUS;West Nowra (Shoalhaven);NULL;Waste;1.00;-34.882.000;150.551.500
AUS0000031;AUS;Tumut 3;NULL;Hydro;1500.00;-35.611.200;148.291.700
AUS0000032;AUS;Trevallyn;NULL;Hydro;80.00;-41.422.600;147.111.900
AUS0000033;AUS;Summerhill;NULL;Waste;2.20;-32.888.500;151.643.000
AUS0000034;AUS;Mugga Lane;NULL;Waste;3.50;-35.395.300;149.145.800
AUS0000036;AUS;Lucas Heights II;NULL;Waste;16.00;-34.048.100;150.973.900
AUS0000037;AUS;Lucas Heights I;NULL;Waste;5.39;-34.029.300;151.002.100
AUS0000038;AUS;Jounama;NULL;Hydro;14.00;-35.562.000;148.305.500
AUS0000039;AUS;Jacks Gully;NULL;Waste;2.30;-34.073.400;150.742.700
AUS0000040;AUS;Gunning;NULL;Wind;47.00;-34.697.700;149.386.100
AUS0000041;AUS;Grange Avenue;NULL;Waste;2.00;-33.702.900;150.831.200
AUS0000042;AUS;Esperance Wind Farm Nine Mile Beach;NULL;Wind;3.60;-33.892.700;121.777.800
AUS0000043;AUS;Emu Downs Wind Farm;NULL;Wind;79.20;-30.488.200;115.376.800
AUS0000044;AUS;Eastern Creek 2;NULL;Waste;8.98;-33.812.500;150.861.700
AUS0000045;AUS;Eastern Creek;NULL;Waste;5.40;-33.814.200;150.853.700
AUS0000046;AUS;Crookwell Wind Farm;NULL;Wind;4.80;-34.516.500;149.542.500
AUS0000047;AUS;Capital Hill Wind Farm;NULL;Wind;140.00;-35.166.000;149.518.600
AUS0000048;AUS;Burrinjuck Power Station;NULL;Hydro;27.00;-35.002.500;148.583.400
AUS0000050;AUS;Waterloo Wind Farm;NULL;Wind;111.00;-34.001.000;138.910.900
AUS0000051;AUS;Windy Hill Wind Farm;NULL;Wind;12.00;-17.592.200;145.530.600
AUS0000052;AUS;Starfish Hill Wind Farm;NULL;Wind;34.50;-35.567.800;138.143.200
AUS0000053;AUS;Pioneer Sugar Mill;NULL;Biomass;67.80;-19.557.500;147.330.800
AUS0000054;AUS;Moranbah North;NULL;Gas;45.70;-21.896.700;147.950.700
AUS0000055;AUS;Koombooloomba;NULL;Hydro;7.30;-17.831.300;145.603.400
